time,d_delta_roll,d_delta_pitch,d_delta_yaw,delta_roll,delta_pitch,delta_yaw
1.93,0.023216899360233245,0.24394301577915295,0.00985532458267523,-0.06680570796184851,-0.12543797274552115,-0.0024445369049679684
1.94,0.014183662118980755,0.24930594558608465,0.008639795638579821,-0.0666638713406587,-0.12294491328966031,-0.0023581389485821704
1.95,0.00668493586183555,0.2572523910176933,0.007480138698741592,-0.06659702198204034,-0.12037238937948339,-0.0022833375615947545
1.96,0.0010816400924691938,0.26757608122674,0.006379679054447684,-0.06658620558111565,-0.11769662856721598,-0.0022195407710502778
1.97,0.003740088245855977,0.28003682992936596,0.0053414716329433,-0.0665488046986571,-0.11489626026792232,-0.0021661260547208446
1.98,0.007293719390810582,0.29442192161385417,0.004372832464541191,-0.06647586750474899,-0.11195204105178379,-0.0021223977300754327
1.99,0.010626560925230899,0.31058006757673645,0.0034762957917804874,-0.06636960189549668,-0.10884624037601642,-0.002087634772157628
2.0,0.014293045625922873,0.3280222603144448,0.0026554568234882746,-0.06622667143923745,-0.10556601777287197,-0.0020610802039227453
2.0100000000000002,0.018804763048209217,0.3462112924020331,0.0019127380558097498,-0.06603862380875536,-0.10210390484885164,-0.002041952823364648
2.02,0.024556512982707113,0.3645977884758987,0.0012491594006582354,-0.06579305867892829,-0.09845792696409265,-0.0020294612293580653
2.0300000000000002,0.03186521356441868,0.38263467661053907,0.0006602443033254784,-0.0654744065432841,-0.09463158019798726,-0.0020228587863248106
2.04,0.04097729913743425,0.3998091547445562,0.000145104089056651,-0.06506463355190975,-0.0906334886505417,-0.002021407745434244
2.05,0.05206605123090291,0.4156751380337377,-0.0002987914260196966,-0.06454397303960072,-0.08647673727020433,-0.002024395659694441
2.06,0.06515967981400927,0.43653188384774994,-0.0007025565198814955,-0.06389237624146063,-0.08211141843172683,-0.0020314212248932558
2.07,0.08027840995767649,0.37944348167866726,-0.0010326097044411498,-0.06308959214188387,-0.07831698361494015,-0.002041747321937667
2.08,0.09748476874661016,0.3203529552183758,-0.001318735855261606,-0.06211474445441777,-0.0751134540627564,-0.002054934680490283
2.09,0.11661331444729872,0.26723429258521575,-0.0015492340497419294,-0.06094861130994478,-0.07244111113690424,-0.002070427020987702
2.1,0.13745449198386117,0.2210968133039809,-0.0017391726906859466,-0.059574066390106165,-0.07023014300386443,-0.002087818747894562
2.11,0.15966715498631426,0.18169770965758442,-0.001897208055414901,-0.05797739484024302,-0.06841316590728859,-0.002106790828448711
2.12,0.18285831058085725,0.14784493176716312,-0.002035613732031495,-0.05614881173443445,-0.06693471658961696,-0.002127146965769026
2.13,0.2066156828672123,0.12006240430826992,-0.002166541904746924,-0.05408265490576233,-0.06573409254653426,-0.002148812384816495
