time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
1.51,1.4476474880455994,2.7587647554260397,0.2414289974692361,-0.7665525352132782,-1.4905823051616587,-0.11949322763587997
1.52,1.4207204730816152,2.716385245114574,0.23804945336881977,-0.752345330482462,-1.463418452710513,-0.11711273310219177
1.53,1.3944230618882347,2.6740815200084094,0.23469101659408814,-0.7384010998635796,-1.4366776375104289,-0.11476582293625089
1.54,1.3687465885154102,2.6318587452169204,0.23134324679246937,-0.7247136339784255,-1.4103590500582597,-0.1124523904683262
1.55,1.3436836695542675,2.589730275549088,0.22799620606357932,-0.7112767972828828,-1.3844617473027687,-0.1101724284076904
1.56,1.3192296149844491,2.54771642534839,0.22464059637509337,-0.6980845011330383,-1.3589845830492848,-0.10792602244393946
1.57,1.2953803091091853,2.5058435228536045,0.22126811907181498,-0.6851306980419465,-1.3339261478207487,-0.10571334125322132
1.58,1.2721310613446748,2.464142865081172,0.21787117345309093,-0.6724093874284998,-1.309284719169937,-0.10353462951869041
1.59,1.2494763424480035,2.422649610794548,0.2144429985334428,-0.6599146240040197,-1.2850582230619916,-0.10139019953335598
1.6,1.227409581260501,2.3814016862807,0.2109776688179223,-0.6476405281914147,-1.2612442061991846,-0.09928042284517676
1.61,1.2059229572731556,2.340438743140859,0.2074701311673329,-0.6355812986186832,-1.2378398187677762,-0.09720572153350343
1.62,1.1850072055128544,2.2998011965048706,0.20391622154741224,-0.6237312265635546,-1.2148418068027274,-0.09516655931802931
1.6300000000000001,1.164651475413414,2.2595293635621836,0.20031268228522706,-0.6120847118094205,-1.1922465131671056,-0.09316343249517704
1.6400000000000001,1.144843239490866,2.2196627166658605,0.19665717617051479,-0.6006362794145118,-1.170049886000447,-0.0911968607334719
1.6500000000000001,1.1255682429244322,2.1802392553782814,0.1929482972544272,-0.5893805969852675,-1.148247493446664,-0.08926737776092762
1.6600000000000001,1.1068096870015407,2.141295152633337,0.18918574699159174,-0.578312500115252,-1.1268345419203307,-0.0873755202910117
1.67,1.0885458998447657,2.1028648672633357,0.1853702219411983,-0.5674270411168044,-1.1058058932476973,-0.08552181807159971
1.68,1.0707539742396854,2.064980194835302,0.18150293990267025,-0.5567195013744075,-1.0851560912993443,-0.08370678867257302
1.69,1.0534110592563695,2.027669749577854,0.17758617972766205,-0.5461853907818438,-1.0648793938035657,-0.08193092687529639
1.7,1.0364941733849606,1.990958812557674,0.1736230878588767,-0.5358204490479942,-1.044969805677989,-0.08019469599670763
1.71,1.0199800781104766,1.9548692507236793,0.1696177129971646,-0.5256206482668895,-1.0254211131707522,-0.07849851886673598
