time,xi_x,xi_y,xi_z,dx_x,dx_y,dx_z,x_x,x_y,x_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
0.5,0.14146177505844548,0.1405977838372059,-0.1178413172381747,-13.200961714493467,-18.87188444039982,-3.629571932229247,6.140636742400599,1.7072200802500774,2.8413660974115458,0.006551291259682374,0.010119099902510309,-0.05270901352943219,0.0429894654982113,0.042305608175804796,0.04781523576312898,1.9561805133319232,1.9433766253994986,-1.627674399614649
0.51,0.1454115119776178,0.14353938724349558,-0.11605333133222251,-13.225095380099155,-17.680350779436225,-3.7006035656042213,6.0083857885996075,1.5304165724557153,2.804360061755504,0.010093987321567272,0.012441741214312824,-0.05085564195115613,0.04309040537142698,0.04243002558794792,0.04730667934361742,2.0113351775796757,1.9845719317690174,-1.601638905544216
0.52,0.14942748355937585,0.14617205661930055,-0.11449036462679674,-13.167081360326936,-16.501674596259836,-3.8047576532870995,5.8767149749963385,1.3653998264931169,2.766312485222633,0.013481653408166455,0.014311448201375032,-0.048940692390962465,0.04322522190550864,0.04257314006996167,0.04681727241970779,2.0671756783490767,2.021353397071563,-1.578815075792338
0.53,0.15424692972420306,0.14944717021088927,-0.11364026800423055,-12.94830781748064,-15.236040292630896,-4.018199196061623,5.747231896821532,1.2130394235668078,2.7261304932620165,0.017459748659101187,0.01670631286570992,-0.046476734480863896,0.04339981939209965,0.04274020319861877,0.04635250507489915,2.133813610926132,2.066930945330891,-1.5661823392958172
0.54,0.16145326059838983,0.15510375027632328,-0.11454251586503439,-12.389621221547493,-13.68598729029691,-4.510506563764793,5.623335684606057,1.0761795506638387,2.681025427624369,0.02357276661284166,0.021331785255811003,-0.04245721778184175,0.043635547058228065,0.042953521051176884,0.045927932897080734,2.2325815681326984,2.1451054757635726,-1.5786057296905254
0.55,0.17130057870965487,0.1631639083859313,-0.11711856285995781,-11.42873088403288,-11.802450352910409,-5.258180703766774,5.509048375765729,0.9581550471347346,2.628443620586701,0.031937359378376357,0.028069784473562537,-0.03705903661355034,0.04395492065201183,0.04323421889591251,0.04555734253094523,2.365775769086812,2.255382899544081,-1.6149514544608954
0.56,0.1787447588483051,0.16830811051108707,-0.1182514103927832,-10.603945749162026,-10.140734459799043,-5.892595255189115,5.403008918274108,0.8567477025367443,2.56951766803481,0.037360557963762975,0.031464693185072085,-0.03348283892178977,0.04432852623164946,0.04354886582776323,0.04522251414172734,2.465160653485129,2.3251949591369545,-1.6307368398250628
0.5700000000000001,0.18453325040593338,0.17154156073646054,-0.11830349015511077,-9.865540904978605,-8.621314291019338,-6.432757946515734,5.304353509224322,0.7705345596265509,2.5051900885696528,0.04076720673415524,0.0327244497243914,-0.031239221120615612,0.04473619829899101,0.04387611032500715,0.04491012193052118,2.5416651674615123,2.368915966412879,-1.6311445155403492
0.58,0.18758970757907978,0.1720930547061298,-0.11701437797126557,-9.357605314780258,-7.356179180697984,-6.838124252394295,5.21077745607652,0.6969727678195711,2.43680884604571,0.04120291447586577,0.03120885770326881,-0.03049738592819931,0.04514822744374967,0.04418819890203984,0.044605148071239185,2.5819456335548523,2.3766230578457628,-1.6124473636846604
0.59,0.18451527025690773,0.1674907987193356,-0.11325832844005257,-9.491628896995927,-6.670886640865627,-6.963269573389023,5.11586116710656,0.6302639014109148,2.3671761503118196,0.035456719871178044,0.02462161632571977,-0.03228352847505164,0.04550279464246145,0.04443441506529704,0.04428231278648867,2.542249638044069,2.3151403421792938,-1.5585130506409737
0.6,0.17786290850066955,0.16024548730289245,-0.10819592085847107,-10.04722440507733,-6.369025046872407,-6.904427407817249,5.015388923055787,0.5665736509421907,2.298131876233647,0.026486727304978197,0.015800907652524426,-0.03527446630630518,0.04576766191551123,0.04459242414182228,0.04392956812342562,2.455040360884179,2.2171656704347336,-1.4857960035417301
0.61,0.17021065804362845,0.1524947031683176,-0.10284531246832884,-10.780128845700082,-6.251437069960971,-6.758332370597653,4.907587634598786,0.504059280242581,2.2305485525276705,0.017092031661855522,0.0070347581861581465,-0.0383779493588543,0.045938582232129786,0.04466277172368386,0.04354578862983707,2.35329689074834,2.1110526026733143,-1.4088493753764872
0.62,0.1627275014197096,0.14527541483467254,-0.09767917378259927,-11.583641923361055,-6.196657833690496,-6.576876865838002,4.791751215365176,0.442092701905676,2.1647797838692906,0.008479414257236029,-0.0006376779204658456,-0.04111856918956755,0.04602337637470215,0.0446563949444792,0.0431346029379414,2.2524430761579453,2.0111145974048434,-1.3345062158133985
0.63,0.15577755329276233,0.1390774607904422,-0.09289328319752199,-12.428258231849165,-6.123886576832321,-6.38930755372243,4.667468633046685,0.3808538361373528,2.1008867083320664,0.000967667448792453,-0.00679452780610712,-0.04332809670638871,0.04603305304919007,0.044588449666418124,0.04270132197087751,2.157639902991896,1.924536056655084,-1.2656374561106978
0.64,0.14934558574891454,0.13395374007560512,-0.0885073830878742,-13.308610703350112,-6.0137863449187305,-6.2047475155726,4.534382526013184,0.3207159726881655,2.0388392331763403,-0.00552847426884312,-0.011480623231516718,-0.04502426623144015,0.04597776830650164,0.044473643434102955,0.04225107930856311,2.068984497594616,1.8524566463306875,-1.2025696740964127
0.65,0.1435313406102976,0.12971690804931318,-0.08449128610816903,-14.200015183522812,-5.885072270394485,-6.024173863588334,4.392382374177956,0.2618652499842206,1.978597494540457,-0.010976250540811805,-0.014979435259440316,-0.04627264440879361,0.04586800580109352,0.044323849081508555,0.04178835286447517,1.9881318727072037,1.7925251057330294,-1.144893309672571
0.66,0.13855206238987527,0.12626409676954525,-0.0808563613426252,-15.066591165811246,-5.744779643192632,-5.853204508826181,4.241716462519843,0.2044174535522943,1.9200654494521951,-0.015229167711539732,-0.01747201097639256,-0.04709215962793101,0.045715714123978124,0.04414912897174463,0.04131743126819586,1.9183810863759876,1.7434667544244313,-1.0927733615197393
